,county,PO_NAME,STATE,brewery_count,popDrinking,median_income,purchase_power,land_area_sqmi,brewery_capacity,brewery_density,tot_market_cap,carrying_cap_ratio,share_market_cap,split_market_cap,brewery_per_capita
58,1115,Wattsville,AL,1.0,125791.0,51969.45,640.7668823453953,1100.286,6,0.0009088546068931169,80602706.89710961,0.3333333333333333,26867568,40301353,7.949694334252848e-06
59,1117,Wilton,AL,3.0,244528.0,62562.782608695656,683.892064263023,1126.211,16,0.002663799234779273,167230758.6901085,0.25,41807689,41807689,1.2268533664856377e-05
60,1119,York,AL,0.0,15854.0,28365.545454545456,405.82633447542173,1320.6799999999998,0,0.0,6433970.706773336,0.5,3216985,6433970,0.0
61,1121,Talladega,AL,0.0,77638.0,37287.769230769234,516.6245672815319,1167.293,4,0.0,40109698.15460357,0.25,10027424,40109698,0.0
62,1123,Waverly,AL,0.0,53049.0,39681.78571428572,570.8942016210323,1646.368,1,0.0,30285366.50179414,1.0,30285366,30285366,0.0
63,1125,Woodstock,AL,2.0,178069.0,47599.92857142857,581.6033489996743,2699.2839999999997,10,0.0007409372263163122,103565526.753023,0.3,31069658,34521842,1.1231601233229816e-05
64,1127,Townley,AL,2.0,65112.0,38553.78947368421,564.0760361553264,1473.7480000000003,1,0.0013570841147876025,36728118.86614561,-0.9999999999999996,-36728118,12242706,3.071630421427694e-05
65,1129,Wagarville,AL,0.0,17322.0,29853.733333333334,442.2591767790505,1262.198,0,0.0,7660813.460166713,0.5,3830406,7660813,0.0
66,1131,Thomasville,AL,0.0,15012.0,21414.933333333334,289.5872198575527,1700.337,0,0.0,4347283.344501581,0.5,2173641,4347283,0.0
67,1133,Vinemont,AL,0.0,39960.0,35411.166666666664,508.0826080695781,1047.105,1,0.0,20302981.01846034,1.0,20302981,20302981,0.0
68,2013,Sand Point,AK,0.0,2785.0,63684.6,824.7881071524719,245.53499999999997,0,0.0,2297034.878419634,0.5,1148517,2297034,0.0
69,2016,Unalaska,AK,0.0,4379.0,66694.71428571429,803.3409007397674,176.29600000000002,0,0.0,3517829.8043394415,0.5,1758914,3517829,0.0
70,2020,Jber,AK,13.0,213796.0,72736.68421052632,621.071812157856,15624.856000000002,15,0.0008320076677826662,132782669.15210098,0.9333333333333333,123930491,9484476,6.08056277947202e-05
